Gene_ID	term
372	isogroup181992	GO:0044434;GO:0044435
373	isogroup181992	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
374	isogroup121208	GO:0044434;GO:0044435
375	isogroup179147	GO:0044434;GO:0044435
376	isogroup42241	GO:0044434;GO:0044435
377	isogroup124205	GO:0044434;GO:0044435
378	isogroup124205	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
379	isogroup191503	GO:0044434;GO:0044435
380	isogroup239738	GO:0044434;GO:0044435
381	isogroup239738	GO:0009523;GO:0009521
382	isogroup239738	GO:0030076
383	isogroup239738	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
384	isogroup47991	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
385	isogroup245501	GO:0044434;GO:0044435
386	isogroup275894	GO:0044434;GO:0044435
387	isogroup275894	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
388	isogroup183049	GO:0044434;GO:0044435
389	isogroup183049	GO:0009523;GO:0009521
390	isogroup183049	GO:0030076
391	isogroup183049	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
392	isogroup274732	GO:0044434;GO:0044435
393	isogroup274732	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
394	isogroup275659	GO:0044434;GO:0044435
395	isogroup275659	GO:0009523;GO:0009521
396	isogroup275659	GO:0030076
397	isogroup275659	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
398	isogroup178699	GO:0044434;GO:0044435
399	isogroup190596	GO:0044434;GO:0044435
400	isogroup203738	GO:0044434;GO:0044435
401	isogroup203738	GO:0009523;GO:0009521
402	isogroup203738	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
403	isogroup247362	GO:0044434;GO:0044435
404	isogroup168522	GO:0044434;GO:0044435
405	isogroup168522	GO:0009523;GO:0009521
406	isogroup168522	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
407	isogroup38200	GO:0044434;GO:0044435
408	isogroup38200	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
409	isogroup277219	GO:0044434;GO:0044435
410	isogroup33374	GO:0044434;GO:0044435
411	isogroup227617	GO:0044434;GO:0044435
412	isogroup227617	GO:0009523;GO:0009521
413	isogroup227617	GO:0030076
414	isogroup227617	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
415	isogroup273373	GO:0044434;GO:0044435
416	isogroup51193	GO:0044434;GO:0044435
417	isogroup51193	GO:0009523;GO:0009521
418	isogroup51193	GO:0030076
419	isogroup51193	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
420	isogroup277051	GO:0044434;GO:0044435
421	isogroup172957	GO:0044434;GO:0044435
422	isogroup268586	GO:0044434;GO:0044435
423	isogroup268586	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
424	isogroup111552	GO:0044434;GO:0044435
425	isogroup189186	GO:0044434;GO:0044435
426	isogroup189186	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
427	isogroup115099	GO:0044434;GO:0044435
428	isogroup115099	GO:0009523;GO:0009521
429	isogroup115099	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
430	isogroup213256	GO:0044434;GO:0044435
431	isogroup213256	GO:0009523;GO:0009521
432	isogroup213256	GO:0030076
433	isogroup213256	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
434	isogroup211357	GO:0044434;GO:0044435
435	isogroup119314	GO:0044434;GO:0044435
436	isogroup119314	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
437	isogroup229658	GO:0044434;GO:0044435
438	isogroup229658	GO:0009523;GO:0009521
439	isogroup229658	GO:0030076
440	isogroup229658	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
441	isogroup36025	GO:0044434;GO:0044435
442	isogroup36025	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
443	isogroup275256	GO:0044434;GO:0044435
444	isogroup275256	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
445	isogroup79412	GO:0044434;GO:0044435
446	isogroup79412	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
447	isogroup201974	GO:0044434;GO:0044435
448	isogroup201974	GO:0009523;GO:0009521
449	isogroup201974	GO:0030076
450	isogroup201974	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
451	isogroup112245	GO:0044434;GO:0044435
452	isogroup226787	GO:0044434;GO:0044435
453	isogroup66369	GO:0044434;GO:0044435
454	isogroup66369	GO:0009523;GO:0009521
455	isogroup66369	GO:0030076
456	isogroup66369	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
457	isogroup38493	GO:0044434;GO:0044435
458	isogroup276827	GO:0044434;GO:0044435
459	isogroup276827	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
460	isogroup56708	GO:0044434;GO:0044435
461	isogroup235004	GO:0044434;GO:0044435
462	isogroup235004	GO:0009523;GO:0009521
463	isogroup235004	GO:0030076
464	isogroup235004	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
465	isogroup38560	GO:0044434;GO:0044435
466	isogroup91884	GO:0044434;GO:0044435
467	isogroup274766	GO:0044434;GO:0044435
468	isogroup119436	GO:0044434;GO:0044435
469	isogroup44357	GO:0044434;GO:0044435
470	isogroup44357	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
471	isogroup219273	GO:0044434;GO:0044435
472	isogroup219273	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
473	isogroup84556	GO:0044434;GO:0044435
474	isogroup231234	GO:0044434;GO:0044435
475	isogroup231234	GO:0009523;GO:0009521
476	isogroup231234	GO:0030076
477	isogroup231234	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
478	isogroup52922	GO:0044434;GO:0044435
479	isogroup271922	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
480	isogroup238554	GO:0044434;GO:0044435
481	isogroup115949	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
482	isogroup276139	GO:0044434;GO:0044435
483	isogroup118417	GO:0044434;GO:0044435
484	isogroup118417	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
485	isogroup124526	GO:0009523;GO:0009521
486	isogroup124526	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
487	isogroup179509	GO:0044434;GO:0044435
488	isogroup179509	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
489	isogroup216892	GO:0044434;GO:0044435
490	isogroup216892	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
491	isogroup52433	GO:0044434;GO:0044435
492	isogroup275458	GO:0044434;GO:0044435
493	isogroup273303	GO:0044434;GO:0044435
494	isogroup273303	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
495	isogroup118810	GO:0044434;GO:0044435
496	isogroup274038	GO:0044434;GO:0044435
497	isogroup274038	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
498	isogroup114899	GO:0044434;GO:0044435
499	isogroup166776	GO:0044434;GO:0044435
500	isogroup185122	GO:0044434;GO:0044435
